,article_body,category,city,date,heading,sentiment,link,paper
122,"NEW DELHI: The threat of a washout looms over the winter session of Parliament with Congress likely to demand that a discussion on  scrapping Rs 500 and Rs 1,000 notes+  be accompanied with a government explanation and an inquiry into alleged ""leak of information"" about demonetisation.    Congress apprehends that the raging row will be defused if the government accepts the adjournment notice for debate given by the Congress-led opposition and this will pave the way for business as usual. But a demand for a Joint Parliamentary Committee probe, unlikely to be acceptable to the government, will stoke the confrontation.    On the eve of the session, the entire non-NDA camp, including SP, BSP, NCP and DMK, attended a strategy session called by leader of opposition in Rajya Sabha Ghulam Nabi Azad.    Besides, Trinamool Congress of Mamata Banerjee has already declared its aggressive intent. All these parties have been seen as soft on the Centre with some distancing themselves from Congress's aggression on issues like GST in the past.    Their combined numbers and lung power give the opposition the muscle to dictate running of the two Houses.    While Congress on its own has an upper hand in Rajya Sabha, the new-found opposition unity also bodes ill for Lok Sabha which has bucked Congress's past blockade because of NDA's brute majority as well as the lead opposition player's isolation.    Ahead of the session, the prospects of the month-long session falling victim to a standoff is seen as a serious possibility though it will have to be seen if the demonetisation glue holds. Sources said the opposition camp will finalise the strategy in a meeting on Wednesday morning.    The opposition will target  demonetisation as a ""scam""+  by alleging that the policy change was leaked in advance to benefit BJP-friendly entities, even questioning the ""intent"" behind the decision.    Tainting the controversial policy, besides focussing on the ""inconvenience and harassment"" faced by common people, is seen as the best way to neutralise the moral high ground that the Centre is seeking to occupy through the policy it has dubbed as a ""surgical strike on black money"".    Underscoring the importance of a convergence of interest in the non-NDA camp, Azad told reporters, ""This unity was not there in the last two sessions because the government puts in all its efforts to divide the opposition. They have not been successful this time.""",india,,"Updated: Nov 16, 2016, 10.34 AM IST",Funds tap turns dry for terror and Maoist groups after demonetisation,,http://timesofindia.indiatimes.com//india/Funds-tap-turns-dry-for-terror-and-Maoist-groups-after-demonetisation/articleshow/55446184.cms,toi
123,"BHARUCHharuch: The NDA government at the Centre has so far introduced over 92 schemes in a span of two and half years for the benefit of the people of this country, BJP president Amit Shah said on Tuesday.    Addressing people after inaugurating a new building of Bharuch District Co-operative Bank here, Shah said, ""The Modi government has the support of common people because they know it is an honest administration working sincerely for the development of the country. There is decisive government at the Centre which is focused on making India a super power. Political parties and their leaders, who are making a hue and cry in the name of poor people after demonetization of currency notes of Rs500 and Rs1,000 denominations, are trying to befool them as they have been worst hit by this action of Prime Minister Narendra Modi.""    The BJP president said, ""There were scams to the tune of Rs 12 lakh crore during the 10-year rule of Congress-led UPA government and that many Congress leaders protected black marketeers. It was a joke to see Congress vice-president Rahul Gandhi go to a bank in Rs 4 crore car to withdraw Rs 4,000 from his account.""    Shah also talked about how the Modi government was responding to Pakistan's machinations. ""The Indian Army has made it tough for terrorists from Pakistan. There will be no compromise on national security.""",india,,"Updated: Nov 16, 2016, 09.16 AM IST",Winter session of Parliament: Opposition eyes surgical strike on government over demonetisation,,http://timesofindia.indiatimes.com//india/Winter-session-of-Parliament-Congress-eyes-opposition-surgical-strike-on-government-over-demonetisation/articleshow/55446524.cms,toi
124,"JAIPUR: More than 150 eminent citizens, including economist Prabhat Patnaik, Aruna Roy and Nikhil Dey of Mazdoor Kisan Shakti Sanghatan and lawyer-activist Prashant Bhushan appealed to the government to roll back the demonetization of Rs 500 and Rs 1,000 currency notes. They have put forth nine points to explain why the move is not likely to achieve the desired ends:    If high-value notes are used to ""hoard black money"", then ""issuing even higher value Rs 2,000 note is completely inexplicable,"" they say. ""Black money is generated through evasion of taxes on income from lawful activities and money generated from illegal activities."" Those who have amassed black money can convert it to bullion, real estate and foreign currency. The former RBI Governor and the current chief economist of the World Bank have spoken against demonetization. Eighty-six percent of currency in circulation and 97% of all transactions by volume are done in cash. ""Summary demonetization has created chaos"", the letter notes.    Only 30% of the Indian population has access to the banking system, as per data compiled by the finance ministry. The distribution of banks is extremely skewed, with a third of all bank branches in the Tier 1 and 2 cities - ""people in rural India who often also suffer from inadequate information have become the worst victims of demonetization."" All currency only has value because of the inherent trust in the banking system, and the summary demonetization has shaken this trust, the letter writers say, seeking clarifications on some points.    ""Rs 1.14 lakh crore of bad debts have been waived by government banks in the last three years. At the same time, loans worth lakhs of crores of rupees are still outstanding. Why has the government not made public the names of the beneficiaries of the waiver and the names of big defaulters, both individuals and corporations?"" The letter writers ask why the government announced that cash deposits of over Rs 2.5 lakh would be scrutinized and tax return with 200% penalty imposed for any tax evasion - this appears to be intended to dissuade people from depositing money so that the government can claim success of demonetization and forewarn people to split their deposits among different accounts and different depositers, the letter says.    The letter writers note that conversions can be done only after filling a form and attaching ID proof - major harassment for the poor and illiterate, many of whom have no identity card. The writers note that the cost of replacing the currency is estimated at Rs 20,000 crore. Far greater losses will be incurred in markets predominantly run on cash. Before effecting such a change, adequate new notes should have been printed; arrangements should have been made for its proper distribution, ATMs should have been recalibrated. Unplanned demonetization has caused a ""riot-like situation in the country"", the letter writers say.",city,surat,"Updated: Nov 16, 2016, 11.57 AM IST","Some leaders are exposed for opposing demonetization, says Amit Shah",,http://timesofindia.indiatimes.com//city/surat/Some-leaders-are-exposed-for-opposing-demonetization-says-Amit-Shah/articleshow/55444915.cms,toi
125,"Puducherry: Former Rajya Sabha MP P Kannan, who joined AIADMK in February, hailed PM Narendra Modi for withdrawing 500 and 1,000 notes in an effort to curb corruption and black money. ""It is a bold and historic move. I render all-out support to the Prime Minister,"" he said.    He urged Modi not to revoke the decision at any cost. ""He (Modi) must not revert the decision. I will even go for propagating the benefits of the move among the general public. I don't want to politicise the issue,"" he said    He said though people are suffering because of the sudden decision to withdraw 500 and 1,000, ""I am totally confident that the people will support when they start reaping the benefits of the bold step and people will be grateful to him in the coming days,"" he said.    However Puducherry Pradesh Congress committee (PPCC) came down heavily on the Modi government for demonetisation move. In a memorandum submitted to the Puducherry chief secretary, PPCC unanimously expressed its anguish to the 'faulty and hasty decision' to demonetise the denominations of 500 and 1,000 with effect of midnight of November 8.    ""It has crated great panic and anarchic situation in the society at large and the victim of such policy is the Aam Aadmi of the great nation,"" the members said in the memorandum while arguing that the decision without proper planning to meet the exigencies exposed the weakness of central government to solve common man's sufferings since November 8.    Terming the demonetisation as a 'cover up' political stunt to conceal its inability to bring forth the black money stashed in foreign banks and distribute them among the Indian citizens as promised by Modi ahead of polls, they said the decision had caused immense hardship to the common man in purchasing daily rations, groceries, vegetables and other essential commodities. They said the move adversely affected the trade and commerce and small vendours and restaurants. ""It had resulted in huge loss to an extent of more than 5 crore per day in Puducherry,"" they said.    ""We therefore urge the Central government to take immediate steps for the distribution of enough currency notes of 500, 100, 50, 20 and 5 through the banks and give relief to the common man and the public at large without further delay,"" the members said in the memorandum.",city,jaipur,"Updated: Nov 16, 2016, 06.34 AM IST","‘Roll back demonetization, it has caused riot-like situation’",,http://timesofindia.indiatimes.com//city/jaipur/Roll-back-demonetization-it-has-caused-riot-like-situation/articleshow/55445150.cms,toi
126,"KANPUR: When banks resumed operation on Tuesday after Guru Nanak Jayanti on Monday, people again queued up to deposit and exchange the old currency notes. At a few places in the city, it was reported that people reached banks and ATMs as early as four in the morning to stand in queues. Though there was a chill in the air and cool breeze were blowing, people still rushed to ATMs as they had no money to buy even basic household items. Many people were heard complaing that demonetisation has adversely affected the household budget in every home.    ""After PM Modi had taken the step of demonetization on November 8, not a single day had passed that I have not visited ATMs to withdraw money but unfortunately I was unable to withdraw it due to long queues,"" Amjad Ali of Patkapur said. ""I had to borrow money from my relatives to meet my daily needs,"" he added.    Earlier on Monday, the rush at ATMs increased manifold in comparison. A large number people gathered early in the morning to withdrawn cash and within few hours ATMs ran dry. There were long queues at the ATMs and people had to wait for hours for their chance to come to withdraw money.    The ATMs wore a deserted look in the afternoon on Monday when they ran out of cash but once fed with money, the machines again witnessed long queues. This continued for even after it became dark. People were eager to withdraw cash to manage their routine life which according to them has got affected.",city,puducherry,"Nov 16, 2016, 07.16 AM IST",'Will propagate benefits of demonetisation move',,http://timesofindia.indiatimes.com//city/puducherry/Will-propagate-benefits-of-demonetisation-move/articleshow/55447775.cms,toi
127,"HYDERABAD: A whopping Rs 68,000 crore cash has gone out of circulation in Telangana, courtesy demonetisation of Rs 500 and Rs 1,000 notes announced by PM Narendra Modi on November 8.    The state normally enjoys a total cash circulation of Rs 80,000 crore a month from which it usually earns Rs 4,200 crore as tax revenue. However, according to a government estimate, 85 per cent of the Rs 80,000 crore cash had gone out of circulation from November 9 making the state government poorer overnight.    The withdrawal of Rs 500 and Rs 1,000 notes has pushed the state's finances into doldrums as entire economic activity came to a grinding halt. The finance department on Tuesday submitted a comprehensive report to chief minister K Chandrasekhar Rao in which it narrated the colossal damage the demonetisation has caused to Telangana's economy. ""Normally, the state earns Rs 4,200 crore in tax and non-tax earnings from its own revenue resources. But with the demonetisation, there has been a total shutdown of activity. Worst affected was the stamps and registrations department which reported a 70 per cent drop in revenue followed by liquor sale which was down by 50 per cent.    The commercial taxes collections came down by 25 to 30 per cent. All put together the state has lost over Rs 1,000 crore in November alone,"" said the report. The finance department sees no major change in the situation for next two months as the Reserve Bank of India already announced a 50-day schedule for complete changeover to the new currency. The department pointed that the pain caused by demonetisation will continue to haunt the state for next two to three months.    KCR directed the finance department to stop all payments and impose treasury controls so that whatever money received by the government would be used for the salary and pension bill for November. ""Clearing the salary and pension bill of `2,250 crore will be no problem as we are expecting Rs 3,000 to Rs 3,200 crore in revenue,"" said a senior official in the finance department. The state government is optimistic about revival of the economy once the cash comes back to circulation. ""This is like a hockey stick growth cycle where there is a steep fall followed by sudden reversal,"" explained finance department officials.    Cabinet secretary Pradeep Kumar Sinha held a video conference meeting with state finance department officials on Tuesday and appreciated the steps taken by the state government to speed up the cash exchange.",city,kanpur,"Updated: Nov 16, 2016, 08.13 AM IST",Demonetisation hits budget in every home,,http://timesofindia.indiatimes.com//city/kanpur/Demonetisation-hits-budget-in-every-home/articleshow/55448191.cms,toi
128,"HYDERABAD: The TRS chief whip in the legislative council, P Sudhakar Reddy said chief minister K Chandrasekhara Rao will meet PM Narendra Modi, if necessary, to explain to him the sufferings of the common man due to the sudden demonetization of Rs 500 and Rs 1,000 notes.    He was participating in a round table meet organized by Telangana Journalists Forum on the curren cy issue. In response to a question as to why K Chandrasekhara Rao himself had not spoken out openly if he had some objections, Sudhakar Reddy said that the chief minister was busy figuring out how demonetization would adversely impact the state revenues.",city,hyderabad,"Nov 16, 2016, 08.12 AM IST",Demonetisation leaves Telangana in squeeze,,http://timesofindia.indiatimes.com//city/hyderabad/Demonetisation-leaves-Telangana-in-squeeze/articleshow/55448205.cms,toi
129,"HYDERABAD/NEW DELHI: A Delhi-based journalist with a national daily was allegedly trolled by a Cyber Crime officer from Hyderabad for posting a comment against the Union government's demonetisation move.    On Monday afternoon, woman journalist Charmaine Edwards posted a Facebook comment, ""Asking if people can stand in line for Jio SIM, Roadies audition and iPhone, then why not now 'for nation's good'? Is the same as asking if you have sex willingly, then what is your problem with rape.The difference is choice. The difference is not being forced or coerced. The difference is survival.""    Hyderabad Cyber Crime assistant commissioner of police (ACP) KCS Raghu Vir commented about the post and subsequent responses of Charmine's friends using objectionable language.    Initially, ACP Ragu Vir dubbed Charmaine's post a ""stupid camparison,"" for using rape as an analogy and later called Charmaine and her friends as ""morons"" and ""retards"". He also used abusive abbreviations like 'fo' and 'gth' against Charmaine's friends opposing his view.    The ACP wrote, ""surprised that the word rape is used for anything. ask those who got raped what they feel. my post was only to stop using the word rape and not to demean the victims. if u dont understand, i cant help it (sic)."" When Charmaine confronted the ACP about usage of abusive language on a woman's Facebook wall, the ACP said, ""did not realise u were a lady ....and `fo' was for some one else who sent personal message.""    Subsequently , Charmaine put up a message on Facebook saying, ""You know this country needs tougher cyber laws when the Assistant Commissioner of Police, Cyber Crime, starts trolling you, tells you to f*** off, go to hell, and publicly say `I don't think you are a lady!' Well done, Raghu Vir KCS, you are an asset to Telangana. I can only imagine the plight of women who come to you with a complaint. God help.""    ""I tagged the DGP, Telangana and other senior officials on Twitter about the issue,"" the journalist told TOI.    When contacted, ACP Raghu Vir said, ""I have left my Facebook account logged in at home and came to office. Someone might have posted those comments after looking at the Facebook messages.""",city,hyderabad,"Nov 16, 2016, 08.25 AM IST",K Chandrasekhara Rao to apprise Narendra Modi of demonetisation woes,,http://timesofindia.indiatimes.com//city/hyderabad/K-Chandrasekhara-Rao-to-apprise-Narendra-Modi-of-demonetisation-woes/articleshow/55448421.cms,toi
130,"HYDERABAD/NEW DELHI: A Delhi-based journalist with a national daily was allegedly trolled by a Cyber Crime officer from Hyderabad for posting a comment against the Union government's demonetisation move.    On Monday afternoon, woman journalist Charmaine Edwards posted a Facebook comment, ""Asking if people can stand in line for Jio SIM, Roadies audition and iPhone, then why not now 'for nation's good'? Is the same as asking if you have sex willingly, then what is your problem with rape.The difference is choice. The difference is not being forced or coerced. The difference is survival.""    Hyderabad Cyber Crime assistant commissioner of police (ACP) KCS Raghu Vir commented about the post and subsequent responses of Charmine's friends using objectionable language.    Initially, ACP Ragu Vir dubbed Charmaine's post a ""stupid camparison,"" for using rape as an analogy and later called Charmaine and her friends as ""morons"" and ""retards"". He also used abusive abbreviations like 'fo' and 'gth' against Charmaine's friends opposing his view.    The ACP wrote, ""surprised that the word rape is used for anything. ask those who got raped what they feel. my post was only to stop using the word rape and not to demean the victims. if u dont understand, i cant help it (sic)."" When Charmaine confronted the ACP about usage of abusive language on a woman's Facebook wall, the ACP said, ""did not realise u were a lady ....and `fo' was for some one else who sent personal message.""    Subsequently , Charmaine put up a message on Facebook saying, ""You know this country needs tougher cyber laws when the Assistant Commissioner of Police, Cyber Crime, starts trolling you, tells you to f*** off, go to hell, and publicly say `I don't think you are a lady!' Well done, Raghu Vir KCS, you are an asset to Telangana. I can only imagine the plight of women who come to you with a complaint. God help.""    ""I tagged the DGP, Telangana and other senior officials on Twitter about the issue,"" the journalist told TOI.    When contacted, ACP Raghu Vir said, ""I have left my Facebook account logged in at home and came to office. Someone might have posted those comments after looking at the Facebook messages.""",city,delhi,"Nov 16, 2016, 08.37 AM IST",Hyderabad cop trolls Delhi journo's FB post on demonetisation,,http://timesofindia.indiatimes.com//city/delhi/Hyderabad-cop-trolls-Delhi-journos-FB-post-on-demonetisation/articleshow/55448604.cms,toi
131,"VARANASI: The visitors at Gandhi Shilp Bazaar lamented the unprecedented lull this year. The demonetisation has had an adverse impact on all the artisans participating in the fair, said Ajmal Khan, who had come all the way from Saharanpur to exhibit an array of wooden furniture. The otherwise abuzz Urban Haat that witnesses one of the biggest shopping extravaganza, Gandhi Shilp Bazaar, did not see much footfall of buyers or art lovers on day four of the ongoing fair. The participants had a hard time finding serious buyers while some even suffered losses owing to lack of notes of lower denominations.The low turnout of buyers is because of the recent demonetization move by government which has the people and the shoppers in a fix. Many said the sales had dipped to about 50%-80% as compared to last year. ""I had boarded the train for Varanasi when the news of demonetization broke out. I could not go back as all the arrangements had been made and the goods were on way. We have hardly managed to earn Rs 2,000-3,000 which is disappointing,"" Khan said.Kailash Kumar, a manufacturer of Haryanavi Zari Jutti (sandals) said that the sales had plummeted by 50%. But sales picked up on Monday when people thronged the bazaar and were apprised that invalid notes of Rs 500 and Rs 1000 are being accepted, he said.For first timer Sonam Kothari, seller of Gota Patti kurtas and cotton Kurtis, the fair was nothing like she had imagined. ""I had heard so much about the fair but the response we are getting is simply not the kind we expected. We are compromising a lot on prices for people to pay and things are sold,""she said.Dry fruit merchant from Jammu and Kashmir, Rehan Ahmed said the sale was negligible and that they had difficulties purchasing food items owing to demonetization. ""I had to take loan to buy meals for the day and on top of it all, there are no sales at all. I am afraid for the losses we would suffer if the sale doesn't pick up in a few days,"" he said.Meanwhile, TOI came across a couple of shoppers who were in a dilemma while purchasing less expensive products due to unavailability of change or notes of lower denominations. ""I have to make unnecessary purchases because none of us have change,"" student Shakshi Agrawal said.Housewife Ruhi Dewan said that she was not able to buy bangles at a stall. ""The bangles were priced at Rs 60 but the shopkeeper didn't have change.""Teachers Smita and Neelam said that they had to limit their purchasing to Rs 200 each as that's what they had as change. Vendors at eatery stalls too suffered losses as people refrained from thronging their stalls owing to lack of lower denomination notes. Only a few visitors ate golgappas otherwise most simply overlooked the stall as they did not have change,"" vendor Vijay Kumar said.",city,hyderabad,"Nov 16, 2016, 08.37 AM IST",Hyderabad cop trolls Delhi journo's FB post on demonetisation,,http://timesofindia.indiatimes.com//city/hyderabad/Hyderabad-cop-trolls-Delhi-journos-FB-post-on-demonetisation/articleshow/55448603.cms,toi
132,"NEW DELHI: The dean of diplomatic corps, who represents foreign envoys in India, has sought the external affairs ministry’s help in the wake of Prime Minister Narendra Modi’s currency recall drive as many diplomats are running short of cash and diplomatic missions are besieged with calls from frantic tourists and delegates visiting the country.  Hans Dannenberg Castellanos, ambassador of the Dominican Republic, who holds the rotating post of the dean at present, has submitted a letter to the ministry seeking help for the diplomatic missions, people aware of the matter told ET.    Many diplomats are bearing the brunt of cash scarcity, they said, even as embassies in the capital have in principle hailed the Modi government’s move aimed at weeding out black money. A senior diplomat of a European nation, for example, was seen amid the panic rush at a bank trying to arrange cash for an event.    Similarly, many delegates from about 140 nations who had arrived in Delhi to attend the climate change event COP7 were left holding old Rs 500 and Rs 1,000 notes after they had exchanged their currencies just ahead of the recall.    These delegates turned to their respective embassies in despair, said a senior diplomat who did not wish to be identified. Embassies which receive visa fees in hard currency and not demand drafts and cheques are also facing problems, the diplomat said.    Foreign tourists said they faced a particularly trying time since several money changers had also run out of local currency. “The situation, without any Indian money at all, is very difficult. We can only use credit cards and debit cards,” said a tourist from a European nation, who did not wish to be identified.    While, one of India’s old allies hailed the PM’s move and said that its diplomats had no complaints, China said banning notes was not the way to fight the menace of black money. “Modi means well and his decision was made based on the reality in India, since most illegal business in the underground economy is cash-only, and Rs 500 and Rs 1,000 notes constitute over 80% of all cash circulation in India. Nevertheless, we can hardly count on the new rule to fully root out corruption...    New Delhi might need to look for ideas from Beijing,” according to the article titled ‘Beijing offers clues for Modi’s new anti-corruption moves’ in state-run The Global Times.  Also read: PM raises issue of state funding of election and transparency in poll fundsAlso read: Opposition to raise issue of selective leak about monetisation  Meanwhile, officials from the central banks of Nepal and Bhutan, both of which hold significant amounts of Indian rupees, are in touch with their counterparts in the Reserve Bank of India to get more details on how to tackle the circulation of the Rs 500 and Rs 1,000 notes that were suddenly rendered worthless.    Nepal and Bhutan are the only two countries which allow Indian travellers to carry up to Rs 25,000 in paper currency. Beginning last year, the RBI allowed Indians to carry this amount in denominations of Rs 500 and Rs 1,000 notes as well, which has resulted in a large amount of these notes entering and being circulated through the two countries.    Indian rupees account for 30% of Bhutan’s international exchange reserves, amounting to about Rs 2,700 crore. Nepal has banned all financial transactions in Indian rupees since Modi’s announcement of currency recall.",city,varanasi,"Updated: Nov 16, 2016, 09.01 AM IST",Demonetisation hits Shilp Bazaar,,http://timesofindia.indiatimes.com//city/varanasi/Demonetisation-hits-Shilp-Bazaar/articleshow/55448973.cms,toi
133,"HYDERABAD: The Gopalpuram police arrested three persons, including a Tollywood assistant director, for trying to dupe gullible people by selling demonetised Turkish lira notes at the Secunderabad railway station on Tuesday.    Police nabbed S Naresh Kumar, a private employee of Borabanda, Minde Kiran, a Tollywood assistant director from Banjara Hills, and Ch Ratna Prabha, a realtor from Kothapet. Police arrested the trio while they were trying to sell 100 demonetised Turkish lira notes at the Secunderabad railway station. On interrogation, they confessed to have received the demonetised foreign currency from one Naveen Kumar. ""Naveen told the other accused that the foreign currency was worth Rs 10 crore and asked for Rs 80 lakh share from the profits made after the sale,"" the Gopalpuram police said.",india,,"Nov 16, 2016, 09.44 AM IST",Demonetisation: Embassies go on a mission to find cash,,http://timesofindia.indiatimes.com//india/Demonetisation-Embassies-go-on-a-mission-to-find-cash/articleshow/55449616.cms,toi
134,"Even as India strives to become a cashless society, there is someone who is ahead of time. For more than 200 days, this man has not spent a single penny in cash but has transacted everything digitally from tea in a roadside shop to shopping in malls. Meet Abhishant Pant, a Mumbai-based 35-year-old fintech professional, obsessed with apps but determined to see a cash-free society.    “We must educate people. This is the key to turn our society cash free. It yields in long-term results” he told ET. “It took me three months to convince my domestic help to receive direct credit into her bank account, but now she thanks me as it has helped her in building a savings habit.”    Pant has a whole host of apps that he uses to pay during transit, at grocery shops/restaurants/street food stalls. The motive is uniform: “Living without cash”. A cashless/cashfree is seen as a key to Prime Minister’s vision of black money-free India.    On a vacation a few months ago, Pant shocked a local tea seller at Mahjod village in Uttarakhand when he had offered to pay Rs 20 digitally for tea. The hesitant vendor objected, but was finally convinced when he received the sum through a mobile recharge after download. In remote areas there is no internet. Hence, Pant uses a mechanism called USSD, an unstructured supplementary service data-based mobile money provided by telecom players such as Vodafone. This mechanism is a proxy for such payments.    While the government of Sweden has invited him to share his experience, he has lectured at top management schools, including NUS Singapore , IIM-Bangalore, given Tedx talks (video created from a presentation) on cashless society. With the demonetisation of Rs 500 and rs 1,000, Pant’s job just got easier.",city,hyderabad,"Nov 16, 2016, 09.45 AM IST",Assistan director held for attempt to sell demonetised Turkish lira,,http://timesofindia.indiatimes.com//city/hyderabad/Assistan-director-held-for-attempt-to-sell-demonetised-Turkish-lira/articleshow/55449625.cms,toi
135,"KOZHIKODE: Vigilance director Jacob Thomas welcomed the central government decision to withdraw currency notes of Rs 500 and Rs 1000 denominations.    Speaking to media persons here on Tuesday, Thomas said that withdrawal of high value notes would help curb circulation of counterfeit currency in those denominations. ""It would definitely help in countering the menace of counterfeit currency,"" he said.    He further said that there would be attempts to portray any move against corruption, especially in a society where corruption was widespread, as causing hardships to people.    ""We have seen that steps against corruption would cause inconvenience to some,"" he added.",india,,"Nov 16, 2016, 09.58 AM IST","Demonetisation: Abhishant Pant, a 35-year-old fintech professional shows how to live cashless",,http://timesofindia.indiatimes.com//india/Demonetisation-Abhishant-Pant-a-35-year-old-fintech-professional-shows-how-to-live-cashless/articleshow/55449759.cms,toi
136,"ITANAGAR: The Congress in Arunachal Pradesh on Tuesday said demonetisation has put the country into a state of financial and economic emergency and common people are the worst sufferers.    ""People are being harassed in the name of surgical strike against black money and corruption,"" Arunachal Pradesh Congress Committee (APCC) president Padi Richo said in a statement.    Lashing out at Prime Minister Narendra Modi, he alleged that BJP had informed it's all 'big corporate friends' to settle their black money well before he made his decision public on November 8.    Criticizing the Prime Minister's new monetary policy, Richi said the Centre should have first made currency notes available in all banks across the country. ""Patients, daily wagers, farmers, vendors, shopkeepers and tribal people living in the far-flung areas having no any bank accounts. They are facing a tough time since the last six days,"" he added.    ""Is not high drama by Modi to divert the attention of people after he failed to fulfill his poll promises?"" questioned Richo.",city,kozhikode,"Nov 16, 2016, 10.06 AM IST",Vigilance chief welcomes demonetisation,,http://timesofindia.indiatimes.com//city/kozhikode/Vigilance-chief-welcomes-demonetisation/articleshow/55449891.cms,toi
137,"COIMBATORE: With more than 60% of workers' wages being transferred into their accounts directly and raw material purchases being done mostly through cheque payments and credit, the garment industry in Tirupur has managed to tide over the demonetisation blues. While garment units paid migrant workers without bank accounts in the old currency last week, companies have stepped up their efforts to help workers open bank accounts. ""This (demonetisation) is a temporary hassle. We can't do much hide-and-seek (unaccounted) operations in exports,"" said Raja M Shanmugham, president, Tirupur Exporters' Association. ""Only 2-3% of the total business transactions are made in cash. Most of our vendors are fixed for the entire year. So, there is nothing much in terms of cash that we have to deal with,"" said T R Sivaram, managing director, Classic Polo. ""Operations have not been affected. Wherever we have to deal with cash, we are either converting it into credit or issuing old notes,"" he said.There are about 4lakh workers employed by the garment industry in Tirupur. An average garment unit pays around Rs30lakh in wages every week. Some units postponed their weekly payments from last Saturday to Wednesday due to the demonetisation drive. The initial weeks after Diwali are typically a lean period for employment of workers in garment units. Migrant labourers take more than 10days to return to work after the festival. While business remains unaffected, some native labourers are complaining as they are struggling to exchange old notes for new currency notes. State vice-president of Centre of Indian trade Union (CITU), Tamil Nadu, M Chandran, said, ""Many companies are paying salary only in old currencies. Labourers are finding it tough to exchange cash. Some of them have paid salaries for three-four months in advance.""",city,itanagar,"Updated: Nov 16, 2016, 11.40 AM IST",Arunachal Congress slams PM Modi over demonetization,,http://timesofindia.indiatimes.com//city/itanagar/Arunachal-Congress-slams-PM-Modi-over-demonetization/articleshow/55451272.cms,toi
138,"Like in every other field, the demonetisation drive has affected the film industry as well, but more at the ground level. On the sets of films which have already started shoot, the crew are finding it difficult to manage daily expenses, to the extent that some films have put off the shoot.  Serving food on the set has become the biggest problem  A film set has around 75-100 crew members, and they have to be served food, come what may, say the crew. And for that, nothing but cash works.    'Out of the daily expense of ` 3-3.5 lakh on an average at a film set, one lakh is needed in cash. And food is the major expense in that,' says Dickson, a production controller. Dickson is working on Dulquer's Bejoy Nambiar film Solo currently, and it has around 60 junior artistes as well. 'Already we have 90 people on the set and with the junior artistes we have 150 people. To serve food for 150 people daily by paying cash in the current situation is getting impossible,' he says.    The film's production team employs caterers on a contract basis for the food, and is trying to transfer money into the accounts of the caterers. 'But they buy vegetables, fish and meat from street markets, not from supermarkets. And they can't pay shopkeepers in anything other than cash,' Dickson says.    Eldho, production controller, agrees. 'The food expenses itself come to ` 25-35,000 daily on a set. Even if you know the caterer, you have to give ` 10,000 as a mess deposit, in cash. He can't buy vegetables with a cheque.' While shooting in cities in Kerala and other areas familiar to them, shopkeepers and caterers are willing to opt for later payments but not so when you are shooting in rural areas or outside Kerala, Eldho adds.  Art properties require cash  When you have to buy something as small as a bit of cloth from a roadside shop, nothing but cash works, says Vijay Babu, actor and producer. 'These are for one-time use and you don't spend too much on them, and mostly buy them from roadside shops. Also, for locations, we pick out a house or a shop and pay them ` 2000-2500 as daily rent. Daily expenses are a real issue.'    The shoot of a grand sequence of Dileep's Kammarasambhavam has been postponed for this reason, says Dickson. 'The set needed something on the lines of the Second World War. We are unable to manage the properties.'    The junior artistes also need to be paid between `750 and 2000 daily in cash, which is becoming difficult, Dickson adds. 'We are trying to transfer the entire money to one person's account now.'    Paying for diesel is another problem the crew faces, especially those which are travelling around.  Films in remote locations worst hit  Vineeth Sreenivasan starrer Aby is being shot in Gundlupet, a small town in Karnataka. And it's out of the question to think of withdrawing money from ATMs there, says the crew. 'There are long queues outside every ATM in the area. Finally we travelled 60 km to Mysore to visit an SBI bank, but were told that we can have only 6k in cash, as the bank was out of money,' says Anil, production controller. 'Six thousand rupees doesn't get you anywhere. Besides the daily food, we need cash for art properties. Few shops in Gudlupet accept cards. There is no way we can stop the shoot now or come back to Gundlupet at a later date,' he adds.  Small films affected most  While the bigger films are able to hold off the payments, small films don't have the luxury. 'When it is a Dulquer film with a known producer, people will be willing to money transfer to accounts or accept cheques. But not so for smaller films. You can't blame caterers either, as they don't even know if the films will get completed,' says Dickson.    While Eldho feels it is nothing short of an emergency, Vijay Babu is of the opinion that the changes will only bring about a positive transformation in the industry, eventually. 'Till Christmas, the problems will persist. Films are already getting postponed and many releases might get clubbed at a later date. But all this is for the good, when you look at the larger picture. New terms and conditions will evolve. All industries need correction. And there will definitely be a lot of positive reformation in the film industry,' he says.",city,coimbatore,"Updated: Nov 16, 2016, 01.11 PM IST",Tirupur garment industry tides over demonetisation crisis,,http://timesofindia.indiatimes.com//city/coimbatore/Tirupur-garment-industry-tides-over-demonetisation-crisis/articleshow/55452910.cms,toi
